   139 WH J000354.9+011052     0.97895    1.18113  0.8067 20.572 18.358   5.01 0.442  18.54   0.85  10          
   140 WH J000356.1+001205     0.98390    0.20152  0.8372 21.156 19.097   6.08 0.525  23.49   1.06  17          
   141 WH J000357.9-001323     0.99129   -0.22297  0.7192 19.820 18.016   8.10 0.680  43.94   1.94  24  WHL     
   142 WH J000359.0-004033     0.99566   -0.67593  0.3322 17.802 17.704   6.90 0.646  21.73   0.99  20  WHL     
   143 WH J000403.5-011644     1.01466   -1.27878  0.4388 18.984 17.822   5.05 0.471  15.33   0.70   8          
   144 WH J000404.1+013143     1.01723    1.52858  1.0608 21.053 18.627   6.33 0.513  27.43   1.23  11          
   145 WH J000406.6+012514     1.02745    1.42069  0.9535 21.007 18.278   6.50 0.620  36.40   1.62  17          
   146 WH J000407.4-010017     1.03065   -1.00465  0.9066 20.388 17.901  16.50 0.832  93.00   3.98  34          
   147 WH J000407.7-004717     1.03198   -0.78805  1.0507 21.026 18.554   6.66 0.565  28.57   1.28  12          
   148 WH J000407.9+020839     1.03275    2.14404  0.1135 15.966 16.277   6.85 0.973  64.38   2.80  53  WHL     
   149 WH J000408.0-001327     1.03315   -0.22425  0.7185 19.858 17.913   5.80 0.614  28.32   1.27  18          
   150 WH J000409.2+013942     1.03815    1.66155  0.8813 20.948 18.265   6.77 0.559  29.16   1.31  12          
   151 WH J000409.8-010504     1.04074   -1.08445  0.3462 18.563 17.630   6.94 0.681  28.46   1.28  21  WHL     
   152 WH J000412.8+020218     1.05347    2.03833  1.4746 23.119 18.646   7.59 0.545  31.64   1.41   8          
   153 WH J000413.6+011340     1.05664    1.22774  0.7052 20.317 18.302   6.73 0.642  26.94   1.21  14          
   154 WH J000416.1+000446     1.06709    0.07933  1.3460 22.682 19.094   6.43 0.560  30.33   1.36  10          
   155 WH J000416.2+001059     1.06745    0.18306  0.6300 19.406 17.838  10.49 0.685  42.63   1.88  21  WHL     
   156 WH J000417.0+002924     1.07063    0.48988  0.6683 19.417 17.623   5.54 0.560  26.97   1.21  15          
   157 WH J000419.9+004953     1.08307    0.83131  1.7915 24.906 19.525   8.76 0.439  23.63   1.07   6          
   158 WH J000421.1+012055     1.08786    1.34851  0.9618 20.773 18.298   5.75 0.499  23.40   1.06   9          
   159 WH J000422.1-003945     1.09191   -0.66258  1.0408 22.367 19.396   5.63 0.509  22.52   1.02  14          
   160 WH J000422.1+004957     1.09215    0.83245  0.9304 20.579 17.921  15.72 0.840  91.72   3.93  31          
   161 WH J000423.4-001632     1.09761   -0.27556  0.6446 20.609 18.383   5.05 0.515  23.86   1.08  14          
   162 WH J000425.4+012808     1.10576    1.46893  0.7018 19.791 18.265   5.20 0.499  21.40   0.97  15          
   163 WH J000426.0+011508     1.10816    1.25212  0.9250 20.547 18.380  11.82 0.714  52.28   2.29  30          
   164 WH J000426.3+012340     1.10967    1.39435  1.0541 22.170 19.354   5.72 0.542  27.25   1.22  20          
   165 WH J000426.6-012230     1.11089   -1.37494  0.7077 21.071 18.436   5.47 0.511  22.26   1.01  16          
   166 WH J000426.9-011309     1.11213   -1.21930  0.8734 20.989 18.644   7.54 0.576  32.35   1.44  16          
   167 WH J000427.5+023934     1.11464    2.65954  0.8182 21.231 18.524   7.27 0.590  32.99   1.47  13          
   168 WH J000432.7-003925     1.13628   -0.65683  1.0404 21.344 18.480   6.03 0.489  24.36   1.10   9          
   169 WH J000433.0+012303     1.13757    1.38410  0.7285 20.012 18.538   5.34 0.495  21.62   0.98  12          
   170 WH J000433.2+023307     1.13838    2.55208  0.8638 21.263 18.674   5.61 0.526  21.86   0.99  11          
