,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
30,123.47374033927917,0.1790017984832139,4.319337050120036,1.0068708901106396,50,15,1,sqrt,,log_loss,"{'n_estimators': 50, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'log_loss'}",0.5253190981748778,0.5874686866276989,0.5910948077898065,0.5679608641974611,0.03018859989923487,80
31,113.87804945309956,3.9401615145896387,4.615178982416789,0.77770005575674,100,5,4,log2,,gini,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None, 'criterion': 'gini'}",0.52615412143624,0.5906000238578075,0.5909158688974382,0.5692233380638285,0.03045480810652488,57
32,172.47778232892355,2.5163243454886532,5.3204747041066485,0.17228016733568086,120,2,4,log2,20,log_loss,"{'n_estimators': 120, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'log_loss'}",0.5203984253847072,0.5965048312060122,0.5960752736273895,0.5709928434060363,0.03577608587791649,35
33,186.8189864953359,3.8999429905620024,5.798000415166219,0.36266456630249955,100,15,10,sqrt,30,log_loss,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'log_loss'}",0.5187880233806513,0.5933138494572349,0.593599952282962,0.5685672750402827,0.035199440199633954,69
34,59.39795708656311,0.5698199972155248,4.497443834940593,0.04884521981500062,20,10,2,sqrt,,log_loss,"{'n_estimators': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'log_loss'}",0.5266909221042586,0.5891387331504234,0.5861441651009514,0.5673246067852111,0.02875835075839174,87
35,92.20492029190063,2.215583066290047,5.711353619893392,0.43482752469974834,80,5,1,log2,30,gini,"{'n_estimators': 80, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'gini'}",0.5350411547178814,0.5880949540737206,0.5903194059228773,0.5711518382381598,0.02555025302853944,33
36,116.64059249560039,1.0796588381410368,5.0249026616414385,0.5988369026285187,50,15,1,sqrt,,entropy,"{'n_estimators': 50, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'entropy'}",0.5225158057974472,0.5902719790051294,0.5855477021263905,0.5661118289763224,0.030887318063853912,93
37,161.7849174340566,3.0584884699704036,4.43222975730896,0.8340938789372909,120,2,10,log2,,log_loss,"{'n_estimators': 120, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': None, 'criterion': 'log_loss'}",0.5175056662292735,0.5970416318740308,0.5938385374727864,0.5694619451920302,0.03676190189292594,54
38,114.26648028691609,2.83906318694745,4.3451394240061445,0.9767843568904321,120,2,2,log2,10,entropy,"{'n_estimators': 120, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy'}",0.5201300250506978,0.6329178098532745,0.6232143389699084,0.5920873912912935,0.051035518703536294,2
39,94.12505094210307,2.1640129018279586,3.884657700856527,1.0401023790069082,100,15,10,log2,10,entropy,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy'}",0.5189967791959919,0.6311284742932125,0.6221407056156989,0.5907553197016344,0.05087344492676628,12
